postal_code,place_name,district_code,district_name,province,post_office_type
41200,Erukkalampiddy,MB,Mannar,Northern Province,Main Post Office
11108,Essella,GQ,Gampaha,Western Province,Sub Post Office
21402,Etanwala,MT,Matale,Central Province,Sub Post Office
50584,Etawatunuwewa,AD,Anuradhapura,North Central Province,Sub Post Office
50518,Etaweeragollewa,AD,Anuradhapura,North Central Province,Sub Post Office
91250,Ethiliwewa,MJ,Monaragala,Uva Province,Main Post Office
91020,Ethimalewewa,MJ,Monaragala,Uva Province,Main Post Office
80458,Ethkandura,GL,Galle,Southern Province,Sub Post Office
80112,Ethumale,GL,Galle,Southern Province,Sub Post Office
61141,Etiyawala,PX,Puttalam,North Western Province,Sub Post Office
61343,Ettale,PX,Puttalam,North Western Province,Sub Post Office
90140,Ettampitiya,BD,Badulla,Uva Province,Main Post Office
20202,Etulgama,KY,Kandy,Central Province,Sub Post Office
60266,Etungahakotuwa,KG,Kurunegala,North Western Province,Sub Post Office
91008,Galabedda,MJ,Monaragala,Uva Province,Sub Post Office
20664,Galaboda,KY,Kandy,Central Province,Sub Post Office
20915,Galabodawatta,KY,Kandy,Central Province,Sub Post Office
50210,Galadivulwewa,AD,Anuradhapura,North Central Province,Sub Post Office
20100,Galagedara,KY,Kandy,Central Province,Main Post Office
20420,Galaha,KY,Kandy,Central Province,Main Post Office
51416,Galamuna,PR,Polonnaruwa,North Central Province,Sub Post Office
32066,Galapitagala,APR,Ampara,Eastern Province,Sub Post Office
71603,Galapitamada,KE,Kegalle,Sabaragamuwa Province,Main Post Office
71505,Galatara,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
90065,Galauda,BD,Badulla,Uva Province,Sub Post Office
90206,Galedanda,BD,Badulla,Uva Province,Sub Post Office
50390,Galenbindunuwewa,AD,Anuradhapura,North Central Province,Main Post Office
21200,Galewela,MT,Matale,Central Province,Main Post Office
60700,Galgamuwa,KG,Kurunegala,North Western Province,Main Post Office
20152,Galhinna,KY,Kandy,Central Province,Sub Post Office
71350,Galigamuwa Town,KE,Kegalle,Sabaragamuwa Province,Main Post Office
50006,Galkadawala,AD,Anuradhapura,North Central Province,Sub Post Office
50120,Galkiriyagama,AD,Anuradhapura,North Central Province,Main Post Office
50064,Galkulama,AD,Anuradhapura,North Central Province,Sub Post Office
80000,Galle,GL,Galle,Southern Province,Main Post Office
70062,Gallella,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
20095,Gallellagama,KY,Kandy,Central Province,Sub Post Office
60712,Gallewa,KG,Kurunegala,North Western Province,Sub Post Office
31318,Galmetiyawa,TC,Trincomalee,Eastern Province,Sub Post Office
61233,Galmuruwa,PX,Puttalam,North Western Province,Sub Post Office
50170,Galnewa,AD,Anuradhapura,North Central Province,Main Post Office
51375,Galoya Junction,PR,Polonnaruwa,North Central Province,Sub Post Office
12005,Galpatha,KT,Kalutara,Western Province,Sub Post Office
71312,Galpatha,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
90752,Galporuyaya,BD,Badulla,Uva Province,Sub Post Office
12016,Gamagoda,KT,Kalutara,Western Province,Sub Post Office
50057,Gambirigaswewa,AD,Anuradhapura,North Central Province,Sub Post Office
90512,Gamewela,BD,Badulla,Uva Province,Sub Post Office
21068,Gammaduwa,MT,Matale,Central Province,Sub Post Office
11000,Gampaha,GQ,Gampaha,Western Province,Main Post Office
20500,Gampola,KY,Kandy,Central Province,Main Post Office
81170,Gandara,MH,Matara,Southern Province,Main Post Office
80440,Ganegoda,GL,Galle,Southern Province,Main Post Office
11020,Ganemulla,GQ,Gampaha,Western Province,Main Post Office
50142,Ganewalpola,AD,Anuradhapura,North Central Province,Sub Post Office
21404,Gangala Puwakpitiya,MT,Matale,Central Province,Sub Post Office
70195,Gangeyaya,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
82506,Gangulandeniya,HB,Hambantota,Southern Province,Sub Post Office
20735,Gannewa Udagama,KY,Kandy,Central Province,Sub Post Office
71222,Gantuna,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
70026,Gawaragiriya,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
70097,Gawaranhena,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
90082,Gawarawela,BD,Badulla,Uva Province,Sub Post Office
20620,Gelioya,KY,Kandy,Central Province,Main Post Office
50224,Gemunupura,AD,Anuradhapura,North Central Province,Sub Post Office
70620,Getahetta,RN,Ratnapura,Sabaragamuwa Province,Main Post Office
50392,Getalawa,AD,Anuradhapura,North Central Province,Sub Post Office
82420,Getamanna,HB,Hambantota,Southern Province,Main Post Office
70002,Gillimale,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
22680,Ginigathhena,NW,Nuwara Eliya,Central Province,Main Post Office
80220,Ginimellagaha,GL,Galle,Southern Province,Main Post Office
80280,Gintota,GL,Galle,Southern Province,Main Post Office
90750,Girandurukotte,BD,Badulla,Uva Province,Main Post Office
60752,Girathalana,KG,Kurunegala,North Western Province,Sub Post Office
51026,Giritale,PR,Polonnaruwa,North Central Province,Sub Post Office
60140,Giriulla,KG,Kurunegala,North Western Province,Main Post Office
50036,Gnanikulam,AD,Anuradhapura,North Central Province,Sub Post Office
82104,Goda Koggalla,HB,Hambantota,Southern Province,Sub Post Office
70556,Godagampola,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
80302,Godahena,GL,Galle,Southern Province,Sub Post Office
70160,Godakawela,RN,Ratnapura,Sabaragamuwa Province,Main Post Office
20214,Godamunna,KY,Kandy,Central Province,Sub Post Office
81408,Godapitiya,MH,Matara,Southern Province,Sub Post Office
90067,Godunna,BD,Badulla,Uva Province,Sub Post Office
60522,Gokarella,KG,Kurunegala,North Western Province,Sub Post Office
20184,Gomagoda,KY,Kandy,Central Province,Sub Post Office
31026,Gomarankadawala,TC,Trincomalee,Eastern Province,Sub Post Office
81073,Gombaddala,MH,Matara,Southern Province,Sub Post Office
81072,Gomila Mawarala,MH,Matara,Southern Province,Sub Post Office
71318,Gonagala,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
80502,Gonagalapura,GL,Galle,Southern Province,Sub Post Office
60005,Gonagama,KG,Kurunegala,North Western Province,Sub Post Office
82602,Gonagamuwa Uduwila,HB,Hambantota,Southern Province,Sub Post Office
91107,Gonaganara,MJ,Monaragala,Uva Province,Sub Post Office
20712,Gonagantenna,KY,Kandy,Central Province,Sub Post Office
32064,Gonagolla,APR,Ampara,Eastern Province,Sub Post Office
50554,Gonahaddenawa,AD,Anuradhapura,North Central Province,Sub Post Office
22226,Gonakele,NW,Nuwara Eliya,Central Province,Sub Post Office
80054,Gonamulla Junction,GL,Galle,Southern Province,Sub Post Office
80230,Gonapinuwala,GL,Galle,Southern Province,Main Post Office
12410,Gonapola Junction,KT,Kalutara,Western Province,Main Post Office
11630,Gonawala,GQ,Gampaha,Western Province,Main Post Office
20656,Gonawalapatana,KY,Kandy,Central Province,Sub Post Office
60170,Gonawila,KG,Kurunegala,North Western Province,Main Post Office
11315,Gongitota,GQ,Gampaha,Western Province,Sub Post Office
82006,Gonnoruwa,HB,Hambantota,Southern Province,Sub Post Office
12310,Govinna,KT,Kalutara,Western Province,Main Post Office
20270,Gunnepana,KY,Kandy,Central Province,Main Post Office
70136,Gurubewilagama,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
20189,Gurudeniya,KY,Kandy,Central Province,Sub Post Office
12236,Gurulubedda,KT,Kalutara,Western Province,Sub Post Office
90208,Gurutalawa,BD,Badulla,Uva Province,Main Post Office
80630,Habaraduwa,GL,Galle,Southern Province,Main Post Office
10204,Habarakada,CO,Colombo,Western Province,Sub Post Office
50150,Habarana,AD,Anuradhapura,North Central Province,Main Post Office
80506,Haburugala,GL,Galle,Southern Province,Sub Post Office
22208,Haggala,NW,Nuwara Eliya,Central Province,Sub Post Office
71715,Hakabellawaka,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
71352,Hakahinna,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
81300,Hakmana,MH,Matara,Southern Province,Main Post Office
82248,Hakuruwela,HB,Hambantota,Southern Province,Sub Post Office
61135,Haldanduwana,PX,Puttalam,North Western Province,Sub Post Office
90180,Haldummulla,BD,Badulla,Uva Province,Main Post Office
22240,Halgranoya,NW,Nuwara Eliya,Central Province,Main Post Office
90060,Hali Ela,BD,Badulla,Uva Province,Main Post Office
12055,Halkandawila,KT,Kalutara,Western Province,Main Post Office
50552,Halmillawetiya,AD,Anuradhapura,North Central Province,Sub Post Office
60441,Halmillawewa,KG,Kurunegala,North Western Province,Sub Post Office
50124,Halmillewa Dambulla,AD,Anuradhapura,North Central Province,Sub Post Office
20032,Haloluwa,KY,Kandy,Central Province,Sub Post Office
20515,Haloya,KY,Kandy,Central Province,Sub Post Office
70145,Halpe,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
12538,Haltota,KT,Kalutara,Western Province,Sub Post Office
80146,Halvitigala Colony,GL,Galle,Southern Province,Sub Post Office
12118,Halwala,KT,Kalutara,Western Province,Sub Post Office
12306,Halwatura,KT,Kalutara,Western Province,Sub Post Office
