postal_code,place_name,district_code,district_name,province,post_office_type
10508,Kahawala,CO,Colombo,Western Province,Sub Post Office
70150,Kahawatta,RN,Ratnapura,Sabaragamuwa Province,Main Post Office
21066,Kaikawala,MT,Matale,Central Province,Main Post Office
40400,Kaitadi,JA,Jaffna,Northern Province,Main Post Office
61236,Kakkapalliya,PX,Puttalam,North Western Province,Sub Post Office
61534,Kaladiya,PX,Puttalam,North Western Province,Sub Post Office
22282,Kalaganwatta,NW,Nuwara Eliya,Central Province,Sub Post Office
11875,Kalagedihena,GQ,Gampaha,Western Province,Sub Post Office
50288,Kalakarambewa,AD,Anuradhapura,North Central Province,Sub Post Office
50174,Kalankuttiya,AD,Anuradhapura,North Central Province,Sub Post Office
50226,Kalaoya,AD,Anuradhapura,North Central Province,Sub Post Office
10718,Kalatuwawa,CO,Colombo,Western Province,Sub Post Office
70450,Kalawana,RN,Ratnapura,Sabaragamuwa Province,Main Post Office
50556,Kalawedi Ulpotha,AD,Anuradhapura,North Central Province,Sub Post Office
22688,Kalaweldeniya,NW,Nuwara Eliya,Central Province,Sub Post Office
12078,Kalawila Kiranthidiya,KT,Kalutara,Western Province,Sub Post Office
11160,Kaleliya,GQ,Gampaha,Western Province,Main Post Office
51002,Kalingaela,PR,Polonnaruwa,North Central Province,Sub Post Office
30410,Kalkudah,BC,Batticaloa,Eastern Province,Main Post Office
50454,Kallanchiya,AD,Anuradhapura,North Central Province,Sub Post Office
30250,Kallar,BC,Batticaloa,Eastern Province,Main Post Office
32300,Kalmunai,AR,Ampara,Eastern Province,Main Post Office
61360,Kalpitiya,PX,Puttalam,North Western Province,Main Post Office
70122,Kaltota,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
11224,Kaluaggala,GQ,Gampaha,Western Province,Sub Post Office
81478,Kalubowitiyana,MH,Matara,Southern Province,Sub Post Office
90352,Kalubululanda,BD,Badulla,Uva Province,Sub Post Office
90546,Kalugahakandura,BD,Badulla,Uva Province,Sub Post Office
20926,Kalugala,KY,Kandy,Central Province,Sub Post Office
60096,Kalugamuwa,KG,Kurunegala,North Western Province,Sub Post Office
51037,Kalukele Bandanagala,PR,Polonnaruwa,North Central Province,Sub Post Office
21112,Kalundewa,MT,Matale,Central Province,Sub Post Office
90186,Kalupahana,BD,Badulla,Uva Province,Sub Post Office
